Timestamp,Full title ,Year of publication,Name of journal where publication was done,"Is it a systematic review, a meta-analysis or a systematic review of the meta-analysis?",Name of author(s),Are objectives clearly spelt out?,Summarize the main objective as spelt out by the research question.,What types of studies are included in the publication?,How many RCTs/Quasi RCTs are included?,Is there a description of how quality assessment for included studies was done?,Is there a summary of the assessed studies?,Who are the targeted professionals in the CDSS intervention arm of the study?,What statistical methods were used in data analysis?,How are the results reported?,Are the outcomes well defined?,What outcomes are reported?,Has this review been updated?,If it has been updated how many times?,In which year(s) were updates conducted?,"Based on all the above, should studies be extracted from this publication?",,,,
2018/03/22 12:45:53 PM GMT+2,Computerized clinical decision support systems for acute care management: A decision-maker-researcher partnership systematic review of effects on process of care and patient outcomes 2011,,,Systematic review,Navdeep Sahota; Canada,Yes,Do CCDSSs improve process of care or patient outcomes for acute medical care?,Cluster RCTs,>= 20,Yes,Yes,Physicians and other medical specialists;Nurses;Others please specify,"chi-square tests, sensitivity analysis",Parametric results,Yes,Process of care outcomes and Patient outcomes,,,,Yes,Yes,Yes,,Yes
2018/03/26 2:36:05 PM GMT+2,Approaches to promoting the appropriate use of antibioticsthrough hospital electronic prescribing systems: a scopingreview,2017,International Journal of Pharmacy Practice,Systematic review,Kathrin Cresswell,Yes,"To identify approaches of using stand-alone and more integratedhospital ePrescribing systems to promote and support the appropriate use ofantibiotics, and identify gaps in order to inform future efforts in this area",RCTs,< 20,No,No,Physicians and other medical specialists,No methods are described,Description of the various systems,Yes,"Practitioner performance
 Choice of antibiotic
 Turnaround time for first dose of antibiotic
 Antibiotic dosingAdherence to protocols/guidelinesTotal antibiotic use
Patient outcomes
 Adverse drug events
 MortalityLength of hospital stay associated with antibiotics
Cost effectiveness 
 Total antibiotic expenditure
 Future resistance
 Cost of hospitalisation
",No,,,No,,,,
2018/03/26 3:17:17 PM GMT+2,Medical Effect of Venous Thromboembolism Prophylaxis Systems and Common Input Categories: Preliminary Findings from a Systematic Review,2017,International Medical Informatics Association and IOS Press,Systematic review,Julian Varghese,Yes,"1. Medical Evaluation of CDSS impact on Patient outcomes in inpatient settings and taking into account risk of bias  assessment by using a standardized approach
2. Identification and analysis of different item categories that were used by the systems.
3. Generate a set of standardized electronic forms including metadata definitions that repersent the input of all included CDSS studies",RCTs;cohort studies,< 20,Yes,Yes,,"Weighted Kappa for screening, description of included studies",No concrete statistics reported,No,,No,,,No,,,,
2018/03/26 4:54:26 PM GMT+2,Are interventions to increase the uptake of screening for cardiovascular disease risk factors effective? A systematic review and meta-analysis.,2017,BMC Family Practice,Systematic-review and meta-analysis,SM Liew,Yes,To determine the effectiveness of existing intervention strategies to increase uptake of CVD risk factors screening,"RCTs;non-RCTs, pre and post-studies",< 20,Yes,Yes,Physicians and other medical specialists;Nurses,Meta-analysis,Non-parametric results,Yes,Relative risk of the intervention vs control with sub-group analyses,No,,,No,,,,
2018/03/27 11:04:19 AM GMT+2,Systematic Review of Medical Informatics--Supported Medication Decision Making.,2017,Biomedical Informatics Insights,Systematic review,Melton BL,No,,RCTs;included 5 RCTs,< 20,No,Yes,Physicians and other medical specialists,None,Description of the CDSS systems and how they work,No,,No,,,No,,,,
2018/03/27 11:35:26 AM GMT+2,"The	Impact	of	Electronic	Health	Records	on Healthcare	Quality:	A	Systematic	Review	and Meta-analysis",2015,"The	European Journal	of Public Health",Systematic-review and meta-analysis,Paolo Campanella,No,To assess the impact of EHR on the quality of care,"RCTs;time-series, before after",< 20,No,Yes,Physicians and other medical specialists;All healthcare workers,Random effects modelling with der sirmonian and laird method,Non-parametric results,Yes,"Documentation times
Guideline adherence
Documentation time
ADEs
Mortality",No,,,No,,,,
2018/03/27 12:20:32 PM GMT+2,Clinical decision support systems in child and adolescent psychiatry: a systematic review,2017,European Child & Adolescent Psychiatry,Systematic review,Norbert Skokauskas,No,To describe the currently available CDSS for child and adolescent psychiatric disorders.,8 studies only 1 of which is an RCT,< 20,Maybe,Yes,"Physicians and other medical specialists;Nurses;Others exculding physicians/medical specialists and nurses(pharmacists, paramedics, therapists etc)",no statistical methods are reported,a description of the available systems is provided,No,,No,,,No,,,,
2018/03/27 3:08:05 PM GMT+2,Electronic Prescribing: Improving the Efficiency and Accuracy of Prescribing in the Ambulatory Care Setting,2014,Perspectives in Health Information Management,Systematic review,Porterfield,No,examination of the benefits of and barriers to e-prescribing,not specified,,No,Not clear,Physicians and other medical specialists,No statistical analysis was done,The results are qualitative quoting specific studies,Yes,"Advantages of E-prescribing in ambulatory care
Barriers to the adoption of E-prescribing in ambulatory care",No,,,No,,,,
2018/03/27 3:38:30 PM GMT+2,Contributions of the electronic health records to the safety of intensive care unit patients: an integrative review,2012,Text & Context Nursing Journal,Integrative review,Artur,No,To identify the major contributions of electronic health records in the area of patient safety in ICU,not mentioned,>= 20,No,No,Nurses,no statistical analysis reported,Parametric results,No,patient safety indicators,No,,,No,,,,
2018/03/28 4:18:15 PM GMT+2,"Computerised decision support systems in order communication for diagnostic, screening or monitoring test ordering: systematic reviews of the effects and cost-effectiveness of systems",2010,Health Technology assessment,Systematic review,Main,Yes,"To investigate which CDSS in OCS are in use within the UK and the impact of CDSS in OCS for diagnostic, screening or monitoring test ordering compared to OCS without CDSS. 
To determine what features of CDSS are associated with clinician or patient acceptance of CDSS in OCS and what is known about the cost-effectiveness of CDSS in diagnostic, screening or monitoring test OCS compared to OCS without CDSS",RCTs,< 20,Yes,Yes,All healthcare workers,Parametric methods and t-tests,Parametric results,Yes,"Adverse effects of test cancellation
Process outcomes",No,,,No,,,,
2018/03/29 12:05:32 PM GMT+2,Features of effective computerised clinical decision support systems: meta-regression of 162 randomised trials,2013,BMJ,Meta-regression,Roshanov,Yes,"To identify factors that differentiate between effective and
ineffective computerised clinical decision support systems in terms of
improvements in the process of care or in patient outcomes.",RCTs,>= 20,Yes,Yes,All healthcare workers,meta-regression with modelling,Non-parametric results,Yes,"descriptive statistics and results of simple logistic regression
for selecting factors for the secondary and exploratory models",No,,,Yes,,,,
2018/03/29 2:38:26 PM GMT+2,Impact of Alert Specifications on Clinicians’ Adherence,2011,European Federation for Medical Informatics,Systematic review,Langemeijer,No,To evaluate effects of interventions concerning different alert specifications on clinicians’ adherence. ,RCTs;other study designs were used,< 20,No,,Physicians and other medical specialists,no statistical methods were used only a description of the included studies is given,Non-parametric results,Yes,adherence to alerts,No,,,No,,,,
